SP_la, SP_lo, SP_time, SP_az, SP_gcarc, S_la, S_lo, S_time, S_az, S_gcarc 
42.0040016174 -89.6669998169 17.85 50.3320461679 104.630149986 35.4795417786 -117.682121277 16.65 46.1709966028 82.2706611097
42.1781997681 -87.9119033813 17.25 50.5675845388 105.927863465 33.351600647 -116.561500549 18.55 48.4660032879 81.8081810887
41.9438018799 -84.4328994751 19.05 51.5487558272 108.353916699 32.891998291 -116.422302246 19.15 48.915143926 81.6444047859
40.8801002502 -85.6941986084 17.15 52.3608153557 107.156861876 33.5999908447 -117.195426941 18.45 47.9538008402 81.5147519017
40.9183006287 -82.3748016357 19.35 53.0095554417 109.596334867 34.7675895691 -114.618812561 16.55 48.1981110424 83.9356080457
40.3790016174 -87.0967025757 17.85 52.5463412655 105.991675504 27.3198051453 -112.241012573 18.25 55.6275792368 81.6665368397
42.3012008667 -83.6567001343 18.95 51.3372196372 109.002522264 33.6551513672 -115.453659058 18.25 48.7404455161 82.7435705358
47.0605010986 -88.5656967163 22.55 45.5411397231 106.863249907 33.4915008545 -116.666999817 18.65 48.2990933999 81.8149679705
46.3665008545 -84.3061981201 18.25 47.0304750004 109.521218214 32.8889007568 -117.105102539 18.75 48.5864924011 81.1702296091
47.9462013245 -91.495300293 15.85 44.0578590282 105.220246759 33.5653991699 -116.737297058 18.55 48.2039480727 81.8086989655
47.9462013245 -91.495300293 15.85 44.0578590282 105.220246759 36.4398803711 -118.080162048 16.05 45.1946672415 82.5684744967
45.7587013245 -88.1346969604 30.05 46.936766261 106.790472688 34.6374511719 -115.381149292 16.95 47.9547399468 83.3414193969
45.2683982849 -90.2005996704 22.85 46.9879715646 105.259072258 34.253528595 -118.333831787 17.85 46.859636393 81.1215904705
45.0404014587 -85.6570968628 16.75 48.1502046618 108.28237795 33.6500091553 -117.009468079 18.45 48.0025057689 81.6704903645
44.8245010376 -84.6175003052 19.45 48.5649859466 108.943754577 34.8810997009 -117.993881226 16.65 46.5112796012 81.7152140844
44.4696998596 -87.770401001 17.95 48.306822039 106.680014904 33.712638855 -118.293807983 18.75 47.3231166733 80.8329670506
43.8908004761 -88.9133987427 17.25 48.6393929381 105.726763395 33.4947013855 -116.602203369 10.35 48.3276149273 81.8613144521
44.0360984802 -86.2348022461 30.05 49.0587845999 107.623517818 36.4671897888 -116.863220215 16.65 45.7476564261 83.3826806141
43.9399986267 -82.8246002197 23.75 49.8003658148 109.983828626 33.0514907837 -114.827056885 18.15 49.5400143288 82.8451311417
43.2382011414 -84.8214035034 18.65 50.1507789897 108.407228551 34.7845687866 -115.659942627 16.75 47.7022815072 83.2336092534
42.7043991089 -88.3320007324 17.45 49.9491176811 105.784276507 36.9960784912 -117.366210938 15.75 45.0779165897 83.3582630948
42.7748985291 -82.6231002808 19.15 51.0441473976 109.857513431 35.3017692566 -116.805740356 16.25 46.7349906418 82.7527593438
42.0126991272 -86.295501709 16.55 51.0897515585 107.03417778 29.0197525024 -110.949302673 16.35 54.7599790524 83.5196418817
41.3881988525 -88.0431976318 18.05 51.3231227656 105.602156708 32.6501197815 -116.109481812 19.15 49.2672892634 81.725764263
41.4034996033 -83.0428009033 19.25 52.3791845166 109.225681213 34.1573791504 -115.145126343 17.65 48.4653254336 83.2360198155
40.8801002502 -85.6941986084 17.95 52.3608153557 107.156861876 33.714099884 -116.711898804 17.85 48.0928854203 81.9106701386
40.9183006287 -82.3748016357 18.65 53.0095554417 109.596334867 33.351600647 -116.561500549 18.55 48.4660032879 81.8081810887
